ID,Wave,Epic,Priority,Status,Summary,Description,Pts
IQ-2,WAVE 5,Advanced Signals,MED,OPEN,Regime C exit condition state tracking — regime_state.json,"Create regime_state.json in dexter_data/: tracks exit condition counters. Fields: fra_ois_below_15_days (count of consecutive days below 15bps), vix_contango_days (VX ratio > 1.05 consecutive days), usdjpy_above_147_days. Exit condition per REGIME_RULES v2.3: all three counters must reach threshold before Regime C → Regime B transition allowed. Prevents premature regime flip on single-day data. ETL 2.1.0.0.",3
IQ-4,WAVE 5,Advanced Signals,MED,OPEN,Add VVIX data collection — volatility-of-volatility Black Swan accelerator,Add ^VVIX to yfinance fetch in run_market(). Write to VIX_TERM section alongside existing VIX/VIX3M/SKEW. Signal: VVIX rising while VIX flat = Black Swan acceleration before VIX level breach. VVIX > 120 = elevated tail risk regardless of VIX level. Add threshold to MACRO_TIERS Tier 4 volatility section. ETL 2.1.0.0.,2
IQ-6,WAVE 5,Advanced Signals,MED,OPEN,Earnings Delta scoring automation — Phase 4 regime-multiplied scoring,"Automate Earnings Delta computation in run_calendars(). Formula: earnings_delta_score = |reported_eps - consensus_eps| / consensus_eps. Apply regime multiplier: Regime A = 0.6×, Regime B = 1.2×, Regime C = 0× (blocked). Flag: score × multiplier ≥ 1.5 = EARNINGS_DELTA_SIGNAL in EARNINGS_CALENDAR. Phase 3 uses this flag directly — no manual scoring. Requires EARNINGS_CALENDAR to have consensus EPS (already in Finnhub payload). ETL 2.2.0.0.",3
IQ-7,WAVE 5,Advanced Signals,MED,OPEN,SOURCE_MAP — field-level provenance in TIER_AUDIT (Dataset Tracker pattern),"Add SOURCE_MAP section to TIER_AUDIT. Maps each computed value to its source dataset + timestamp: net_liq_b → FRED WALCL 2026-03-18, fra_ois_bps → FRED SOFR 2026-03-19, wti_price → yfinance CL=F 2026-03-22. Surfaces conflicts: if FRED EIA WTI and yfinance CL=F diverge > 2%, SOURCE_MAP shows both values and flags CONFLICT. Dataset Tracker pattern per WBS 6.1 Book Ch. 10. Shared scope with OB-5. ETL 2.2.0.0.",3
IQ-10,WAVE 5,Advanced Signals,LOW,OPEN,GEX scraper — dealer gamma exposure (data access TBD),"Dealer gamma exposure (GEX) from options market — identifies non-linear S&P/NASDAQ Flip Zones from dealer hedging flows. Data access TBD: no reliable free source. Candidate sources: SpotGamma (paid), Market Chameleon (partial free), CBOE options settlement data (delayed). Placeholder: add GEX_STATUS = UNAVAILABLE to TIER_AUDIT until data source confirmed. Do not implement until source confirmed — log as FUTURE per WBS 6.1. ETL 2.3.0.0.",2
OB-1,WAVE 6,Observability,MED,OPEN,SLA monitoring — per-module timing + elapsed alert (SLA Misses Detector),"Add timing instrumentation to each ETL module: record start_time, end_time, elapsed_s. Write to RUN_HISTORY.log alongside existing completion status. Alert thresholds: total run > 10 min = WARNING Slack, > 20 min = CRITICAL Slack. Per-module: any module > 3 min = WARNING (suggests API timeout or rate limit). SLA Misses Detector pattern per WBS 6.1 Book Ch. 10. ETL 2.x.0.0.",3
OB-2,WAVE 6,Observability,LOW,OPEN,Skew Detector — BTC (bid-to-cover) count vs 4-week rolling average,Compute rolling_avg_btc = mean of last 20 auction BTC values per security type. Flag: if current BTC deviates > 15% from rolling_avg = AUCTION_SKEW alert in TIER_AUDIT. Distinguishes one-off weak auction from trend deterioration. Skew Detector pattern per WBS 6.1 Book Ch. 10. Write BTC rolling avg to TREASURY_AUCTIONS section. ETL 2.x.0.0.,2
OB-3,WAVE 6,Observability,MED,OPEN,Filter Interceptor — NEWS_CORPUS UNCLASSIFIED rate per feed,In run_news(): compute pct_unclassified per RSS feed source. If any feed > 40% UNCLASSIFIED consistently (3 runs): flag feed for quality review. Write per-feed UNCLASSIFIED% to NEWS_CORPUS header alongside HDS. Filter Interceptor pattern per WBS 6.1 Book Ch. 3. Feeds with > 40% UNCLASSIFIED reduce their HDS weight contribution. FinBERT/SBERT upgrade (ID:132) directly reduces UNCLASSIFIED rate. ETL 2.x.0.0.,2
OB-4,WAVE 6,Observability,LOW,OPEN,Data retention policy — TTL for raw ETL outputs + cleanup script,"Raw ETL text files in dexter_data/YYYYMMDD/: 30-day TTL. TIER_AUDIT files: indefinite retention (source of truth for shadow journal). GMISR_METRICS Parquet: indefinite retention (ML training data). Write cleanup_old_runs.py: deletes raw files older than 30 days, preserves TIER_AUDIT. Run as weekly cron on Sunday alongside Phase 10 audit. Configurable TTL via env var.",2
OB-5,WAVE 6,Observability,LOW,OPEN,Fine-grained lineage SOURCE_MAP — shared scope with IQ-7,Shared implementation with IQ-7 (SOURCE_MAP in TIER_AUDIT). OB-5 extends to the Parquet/Gold layer: each Parquet row includes source_hash column linking to the specific ETL run that produced it. Fine-Grained Tracker pattern per WBS 6.1 Book Ch. 10. In Databricks Gold: Unity Catalog lineage tracks Bronze→Silver→Gold for each field. Implement IQ-7 first — OB-5 is the cloud extension of the same concept.,1
GOV-1,GOVERNANCE,Governance,MED,ONGOING,Maintain DEXTER_SYNC_CONTRACT.md — canonical threshold + ticker registry,SYNC_CONTRACT is the single source of truth for all ETL thresholds and ticker IDs. Process: any change to ETL TRIGGERS dict requires simultaneous SYNC_CONTRACT update. Never update SOUL.md/MACRO_TIERS without corresponding SYNC_CONTRACT version log entry. Current: SYNC_CONTRACT v1.4. Target: v1.5 with Wave 4 tickers (T4-11).,1
GOV-2,GOVERNANCE,Governance,MED,ONGOING,Foundation file versioning — SOUL/MACRO_TIERS/REGIME_RULES in sync with ETL,Version pairing rule: ETL MAJOR bump (x.0.0.0) requires all three foundation files updated. Current pairings: ETL 1.7.5.6 ↔ SOUL v2.4 / MACRO_TIERS v3.2 / REGIME_RULES v2.3. ETL 2.0.0.0 (Wave 4) requires: SOUL v2.5 + MACRO_TIERS v3.3 + REGIME_RULES v2.4. Log all pairings in SYNC_CONTRACT version pairing table.,1
GOV-3,GOVERNANCE,Governance,HIGH,ONGOING,NotebookLM corpus reload on MAJOR ETL version bumps,"TIER_AUDIT schema change (MAJOR bump) = Phase 0 prompt may break. Protocol: on every MAJOR bump, perform full NotebookLM source replacement before running Phase 0 for the first time. Test: run Phase 0 on prior day TIER_AUDIT after reload — verify regime output unchanged. MAJOR bumps planned: 2.0.0.0 (RATIO_SIGNALS), 2.3.0.0 (Track B promotion).",1
GOV-4,GOVERNANCE,Governance,MED,ONGOING,"Sync workflow enforcement — ETL TRIGGERS = canonical, foundation files = English","Direction of truth: ETL TRIGGERS dict defines the threshold numbers. Foundation files (SOUL/MACRO_TIERS) describe those numbers in English. Never reverse: do not change SOUL.md and then update ETL to match — always update ETL first, then update foundation files to describe the new value. SYNC_CONTRACT v1.x audits this direction on each version log entry.",1
